output,answer,complexity
~((~(a|(b&c)))&(~(a|(b&~c)))),a|b,14
~((~(~a|b|c))|(~(~a|b|~c))),~a|b,14
~((~(~a|b))|(~(~a|b|c))),~a|b,12
~((~(a|b))&(~(c&~c))),a|b,10
~((~(~a|b))&(~(~a|(b&c)))),~a|b,13
~((~(a&b&c))&(~(a&b&~c))),a&b,12
~((~(~a|~b))&(~(~a|(~b&c)))),~a|~b,15
~((~(~a&b))&(~(~a&b&c))),~a&b,12
~((~(~a&b&c))&(~(~a&b&~c))),~a&b,14
~((~(~a|~b))|(~(c|~c))),~a|~b,12
~((~a|(~(~b)))|(~(c|(1)))),a&~b,11
~(((~(~a))&(~(~b)))&(~(c&(0)))),~a|~b,12
~((~(a&b))|(~((a&b)|c))),a&b,11
~((~(a|~b))|(~(a|~b|c))),a|~b,12
~((~(~a&~b))&(~(c&~c))),~a&~b,12
~((~(a|b))&(~(a|(b&c)))),a|b,11
~((~(~a|~b|c))|(~(~a|~b|~c))),~a|~b,16
~((~(~a&b))&(~(c&~c))),~a&b,11
~(((~(~a))&(~(b&(c|(1)))))|(0)),~a|b,12
~((~(a&~b))|(~((a&~b)|c))),a&~b,13
~((~(a|~b|c))|(~(a|~b|~c))),a|~b,14
~((~a&(~(~b)))&(~(c&(0)))),a|~b,11
~((~(a|(~b&c)))&(~(a|(~b&~c)))),a|~b,16
~((~((a&~b)|c))|(~((a&~b)|~c))),a&~b,16
~((~(a&~b))&(~(c&~c))),a&~b,11
~((~(a&b))|(~(c|~c))),a&b,10
~((~(~a|~b))&(~(c&~c))),~a|~b,12
~((~((~a&~b)|c))|(~((~a&~b)|~c))),~a&~b,18
~(((~(~a))|~b)|(~(c|(1)))),~a&b,11
~((~((a&b)|(a&b)))&(~(c&(0)))),a&b,13
~((~(~a&~b))&(~(c&(0)))),~a&~b,11
~(((~(~a))&~b)&(~(c&(0)))),~a|b,11
~((~(a&~b))&(~(a&~b&c))),a&~b,12
~((~(a|~b))&(~(c&~c))),a|~b,11
~((~(~a&~b))&(~(~a&~b&c))),~a&~b,14
